start_date,end_date,kind,name,source
2024-01-01,2024-01-01,public_holiday,new_year,vd_public_rule
2024-01-02,2024-01-02,public_holiday,new_year_extra_day,vd_public_rule
2024-03-29,2024-03-29,public_holiday,good_friday,vd_public_rule
2024-04-01,2024-04-01,public_holiday,easter_monday,vd_public_rule
2024-05-09,2024-05-09,public_holiday,ascension,vd_public_rule
2024-05-20,2024-05-20,public_holiday,whit_monday,vd_public_rule
2024-08-01,2024-08-01,public_holiday,national_day,vd_public_rule
2024-09-16,2024-09-16,public_holiday,federal_fast_monday,vd_public_rule
2024-12-25,2024-12-25,public_holiday,christmas,vd_public_rule
2023-12-23,2024-01-07,school_holiday,winter_holiday,vd_school_pdf
2024-02-10,2024-02-18,school_holiday,winter_break,vd_school_pdf
2024-03-29,2024-04-14,school_holiday,easter_holiday,vd_school_pdf
2024-05-09,2024-05-12,school_holiday,ascension_bridge,vd_school_pdf
2024-05-20,2024-05-20,school_holiday,whit_monday,vd_school_pdf
2024-06-29,2024-08-18,school_holiday,summer_holiday,vd_school_pdf
2024-09-16,2024-09-16,school_holiday,federal_fast_monday,vd_school_pdf
2024-10-12,2024-10-27,school_holiday,autumn_holiday,vd_school_pdf
2024-12-21,2025-01-05,school_holiday,winter_holiday,vd_school_pdf
2025-01-01,2025-01-01,public_holiday,new_year,vd_public_rule
2025-01-02,2025-01-02,public_holiday,new_year_extra_day,vd_public_rule
2025-04-18,2025-04-18,public_holiday,good_friday,vd_public_rule
2025-04-21,2025-04-21,public_holiday,easter_monday,vd_public_rule
2025-05-29,2025-05-29,public_holiday,ascension,vd_public_rule
2025-06-09,2025-06-09,public_holiday,whit_monday,vd_public_rule
2025-08-01,2025-08-01,public_holiday,national_day,vd_public_rule
2025-09-22,2025-09-22,public_holiday,federal_fast_monday,vd_public_rule
2025-12-25,2025-12-25,public_holiday,christmas,vd_public_rule
2024-12-21,2025-01-05,school_holiday,winter_holiday,vd_school_pdf
2025-02-15,2025-02-23,school_holiday,winter_break,vd_school_pdf
2025-04-12,2025-04-27,school_holiday,easter_holiday,vd_school_pdf
2025-05-29,2025-06-01,school_holiday,ascension_bridge,vd_school_pdf
2025-06-09,2025-06-09,school_holiday,whit_monday,vd_school_pdf
2025-06-28,2025-08-17,school_holiday,summer_holiday,vd_school_pdf
2025-09-22,2025-09-22,school_holiday,federal_fast_monday,vd_school_pdf
2025-10-11,2025-10-26,school_holiday,autumn_holiday,vd_school_pdf
2025-12-20,2026-01-04,school_holiday,winter_holiday,vd_school_pdf
2026-01-01,2026-01-01,public_holiday,new_year,vd_public_rule
2026-01-02,2026-01-02,public_holiday,new_year_extra_day,vd_public_rule
2026-04-03,2026-04-03,public_holiday,good_friday,vd_public_rule
2026-04-06,2026-04-06,public_holiday,easter_monday,vd_public_rule
2026-05-14,2026-05-14,public_holiday,ascension,vd_public_rule
2026-05-25,2026-05-25,public_holiday,whit_monday,vd_public_rule
2026-08-01,2026-08-01,public_holiday,national_day,vd_public_rule
2026-09-21,2026-09-21,public_holiday,federal_fast_monday,vd_public_rule
2026-12-25,2026-12-25,public_holiday,christmas,vd_public_rule
2025-12-20,2026-01-04,school_holiday,winter_holiday,vd_school_pdf
2026-02-14,2026-02-22,school_holiday,winter_break,vd_school_pdf
2026-04-03,2026-04-19,school_holiday,easter_holiday,vd_school_pdf
2026-05-14,2026-05-17,school_holiday,ascension_bridge,vd_school_pdf
2026-05-25,2026-05-25,school_holiday,whit_monday,vd_school_pdf
2026-06-27,2026-08-16,school_holiday,summer_holiday,vd_school_pdf
2026-09-21,2026-09-21,school_holiday,federal_fast_monday,vd_school_pdf
2026-10-10,2026-10-25,school_holiday,autumn_holiday,vd_school_pdf
2026-12-24,2027-01-10,school_holiday,winter_holiday,vd_school_pdf
